ID	NASTAVITVENITLAK	TOLERANCATLAK	TOLERANCAPOMIK	TLAKSISTEMA	PN	PREMER	HOTT
731	4	0	0	0	0	0	1
732	6	0	0	0	0	0	1
733	6	0	0	2	0	0	2
734	10	0	0	5	0	0	2
735	1	0	0	0.5	0	0	2
736	1	0	0	0.5	0	0	2
737	10	0	0	0.5	0	0	2
738	0	0	0	0	0	0	3
739	10	0	0	0.5	0	0	2
740	6	0	0	0.5	0	0	2
741	0	0	0	0	0	0	3
742	0	0	0	0	0	0	3
743	6	0	0	0.5	0	0	2
744	0	0	0	0	0	0	3
745	6	0	0	0.5	0	0	2
746	0	0	0	0	0	0	3
747	10	0	0	0	0	0	1
748	0	0	0	0	0	0	3
749	10	0	0	0	0	0	1
750	13	0	0.2	0	40	125	1
751	0	0	0	0	0	0	3
752	22	0	0.2	0	40	92	1
753	22	0	0.2	0	40	92	1
754	0	0	0	0	0	0	3
755	22	0	0.2	0	40	92	1
756	13	0	0.2	0	40	0	1
757	10	0	0.2	0	0	0	1
758	0	0	0	0	0	0	3
759	10	0	0.2	0.2	0	0	2
760	0	0	0	0	0	0	3
761	4.5	0	0.2	0.2	10	0	2
762	4.5	0	0.2	0.2	10	0	2
763	0	0	0	0	0	0	3
764	16	0	0.2	8	0	0	2
765	4.5	0	0.2	0.2	10	0	2
766	4.5	0	0.2	0.2	10	0	2
767	43	0	0.2	39	160	0	2
768	43	0	0.2	32	160	0	2
769	3.5	0	0.2	1.8	40	0	2
770	3.5	0	0.2	1.8	40	0	2
771	4.2	0	0.2	0	16	0	1
772	0	0	0.2	0	0	0	3
773	0	0	0	0	0	0	3
774	0	0	0	0	0	0	3
775	0	0	0	0	0	0	3
776	4.2	0	0.2	0	16	0	1
777	4.2	0	0.2	0	16	0	1
778	0	0	0	0	0	0	3
779	4.2	0	0.2	0	16	0	1
780	179	0	0.2	21	0	0	2
781	10	0.365	0	0	0	0	1
782	300	0	0.2	221	40	0	2
783	300	0	0.2	260	40	0	2
784	30	0	0.2	0	40	0	1
785	0	0	0	0	0	0	3
786	30	0	0.2	26.6	0	0	2
787	30	0	0.2	26.6	0	0	2
788	179	0	0.2	147	0	0	2
789	8	0	0.2	3.4	16	0	2
790	8	0	0.2	3.4	16	0	2
791	0.4	0	0	0.17	40	0	2
792	0	0	0	0	0	0	3
793	0	0	0	0	0	0	3
794	0	0	0	0	0	0	3
795	0.4	0	0.2	0.17	40	0	2
796	0.4	0	0.2	0.17	40	0	2
797	0.4	0	0.2	0.06	40	0	2
798	220	0	0.2	104.8	0	0	2
799	220	0	0.2	104.8	0	0	2
800	181	0	0.2	140	200	20	2
801	185	0	0.2	140	200	20	2
802	185	0	0.2	140	200	20	2
803	185	0	0.2	140	200	20	2
804	185	0	0.2	143	200	20	2
805	185	0	0.2	140	200	20	2
806	0	0	0	0	0	0	3
807	170	0	0.2	140	200	20	2
808	170	0	0.2	140	200	20	2
809	170	0	0.2	140	200	20	2
810	170	0	0.2	140	200	20	2
811	48	0	0.2	25	200	20	2
812	48	0	0.2	25	200	20	2
813	0	0	0	0	0	0	3
814	48	0	0.2	25	200	20	2
815	48	0	0	25	200	20	2
816	0	0	0	0	0	0	3
